id_product;name;brand;priceU;salePriceU;article
181522378;SIMPLE STORY;SIMPLE STORY;1042.0;811.0;2079-LED7DLW
181537258;SIMPLE STORY;SIMPLE STORY;1042.0;811.0;2081-LED7DLW
181522380;SIMPLE STORY;SIMPLE STORY;1041.0;810.0;2080-LED7DLW
122900317;SIMPLE STORY;SIMPLE STORY;1035.0;806.0;2010-LED5TRB
181290545;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2068-1DLBG
181302322;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2069-1DLBW
181302323;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2069-1DLWB
181290546;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2068-1DLBW
181131317;SIMPLE STORY;SIMPLE STORY;950.0;740.0;2067-1DLBW
181131318;SIMPLE STORY;SIMPLE STORY;950.0;740.0;2067-1DLWB
181125803;SIMPLE STORY;SIMPLE STORY;950.0;740.0;2066-1DLG
181125801;SIMPLE STORY;SIMPLE STORY;950.0;740.0;2066-1DLBG
181311217;SIMPLE STORY;SIMPLE STORY;945.0;736.0;2073-1DLWB
181311216;SIMPLE STORY;SIMPLE STORY;945.0;736.0;2073-1DLBW
181621897;SIMPLE STORY;SIMPLE STORY;510.0;426.0;2088-LED12DLW
181621898;SIMPLE STORY;SIMPLE STORY;510.0;426.0;2088-LED18DLW
181621899;SIMPLE STORY;SIMPLE STORY;510.0;426.0;2089-LED12DLW
187980498;SIMPLE STORY;SIMPLE STORY;477.0;398.0;2072-1DLG
184973550;SIMPLE STORY;SIMPLE STORY;46500.0;36223.0;1061-7PL
180137786;SIMPLE STORY;SIMPLE STORY;9363.0;7293.0;1204-LED48CL
191101421;AllConsoles;AllConsoles;24862.0;11829.0;1072-CB clear
95059820;AllConsoles;AllConsoles;33486.0;13581.0;1044-CS clear
95059816;AllConsoles;AllConsoles;36520.0;14812.0;1043-CS clear
148263910;AllConsoles;AllConsoles;46325.0;18789.0;1123-CS grey
148263900;AllConsoles;AllConsoles;45379.0;18405.0;1124-CS grey
148263906;AllConsoles;AllConsoles;45115.0;18298.0;1123-CS clear
185222410;SIMPLE STORY;SIMPLE STORY;21273.0;17443.0;1002-9PL
186620128;SIMPLE STORY;SIMPLE STORY;5993.0;4668.0;1052-1PL
180719551;SIMPLE STORY;SIMPLE STORY;2287.0;1781.0;2052-LED10CLB
179957729;SIMPLE STORY;SIMPLE STORY;2170.0;1690.0;2046-LED10TRW
180359556;SIMPLE STORY;SIMPLE STORY;1267.0;986.0;2035-1CLB
180262062;SIMPLE STORY;SIMPLE STORY;1144.0;891.0;2039-1CLW
180875977;SIMPLE STORY;SIMPLE STORY;1128.0;878.0;2043-LED10TRW
179763785;SIMPLE STORY;SIMPLE STORY;945.0;736.0;2028-1DLB
148263896;AllConsoles;AllConsoles;44421.0;18017.0;1124-CS clear
180648389;SIMPLE STORY;SIMPLE STORY;1572.0;1224.0;2044-LED10TRW
179916580;SIMPLE STORY;SIMPLE STORY;2387.0;1859.0;2040-1TRB
122900612;SIMPLE STORY;SIMPLE STORY;11857.0;9236.0;1140-1PL
122900604;SIMPLE STORY;SIMPLE STORY;11492.0;8952.0;1035-1WL
122900315;SIMPLE STORY;SIMPLE STORY;10764.0;8385.0;1110-3WL
122900607;SIMPLE STORY;SIMPLE STORY;8265.0;6438.0;1100-1WL
122900325;SIMPLE STORY;SIMPLE STORY;6872.0;5635.0;1029-1PL
122900329;SIMPLE STORY;SIMPLE STORY;6888.0;5365.0;1169-1PL
122900344;SIMPLE STORY;SIMPLE STORY;6888.0;5365.0;1168-1PL
182072400;SIMPLE STORY;SIMPLE STORY;990.0;752.0;2001-1TRB
182072401;SIMPLE STORY;SIMPLE STORY;990.0;752.0;2001-1TRW
182508972;SIMPLE STORY;SIMPLE STORY;765.0;581.0;2008-TRB
182508971;SIMPLE STORY;SIMPLE STORY;765.0;581.0;2008-TRW
182068636;SIMPLE STORY;SIMPLE STORY;423.0;372.0;2009-TRW
182108235;SIMPLE STORY;SIMPLE STORY;360.0;316.0;2006-TRB
182108234;SIMPLE STORY;SIMPLE STORY;360.0;316.0;2005-TRW
182108233;SIMPLE STORY;SIMPLE STORY;360.0;316.0;2005-TRB
182108236;SIMPLE STORY;SIMPLE STORY;360.0;316.0;2006-TRW
182108230;SIMPLE STORY;SIMPLE STORY;199.0;199.0;2003-TRW
181290549;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2068-1DLWB
181290547;SIMPLE STORY;SIMPLE STORY;990.0;771.0;2068-1DLG
180529627;SIMPLE STORY;SIMPLE STORY;824.0;641.0;2074-1DLB
181621896;SIMPLE STORY;SIMPLE STORY;532.0;414.0;2086-LED18DLW
181621895;SIMPLE STORY;SIMPLE STORY;510.0;426.0;2086-LED12DLW
181066648;SIMPLE STORY;SIMPLE STORY;1802.0;1403.0;2065-1CLB
191350166;AllConsoles;AllConsoles;39566.0;17899.0;1092-CG grey
133676996;AllConsoles;AllConsoles;34444.0;13970.0;1044-CS grey
95059818;AllConsoles;AllConsoles;37730.0;15303.0;1043-CS grey
191101425;AllConsoles;AllConsoles;29336.0;13271.0;1072-CS clear
190952200;AllConsoles;AllConsoles;31403.0;12737.0;1071-CG grey
190952199;AllConsoles;AllConsoles;35367.0;12413.0;1071-CG clear
191215941;AllConsoles;AllConsoles;24867.0;11249.0;1073-CG grey
191101426;AllConsoles;AllConsoles;29420.0;13539.0;1072-CS grey
191349950;AllConsoles;AllConsoles;47360.0;19578.0;1091-CG grey
191101424;AllConsoles;AllConsoles;25424.0;12096.0;1072-CG grey
191215940;AllConsoles;AllConsoles;29349.0;10988.0;1073-CG clear
190937344;AllConsoles;AllConsoles;30029.0;12413.0;1071-CB clear
183869807;SIMPLE STORY;SIMPLE STORY;67497.0;52580.0;58231-6PL
183869808;SIMPLE STORY;SIMPLE STORY;60300.0;49446.0;58281-6PL
183869805;SIMPLE STORY;SIMPLE STORY;52194.0;40659.0;58131-6PL
183869806;SIMPLE STORY;SIMPLE STORY;47775.0;37216.0;58181-6PL
183876849;SIMPLE STORY;SIMPLE STORY;46793.0;36451.0;5581-5CL
183794170;SIMPLE STORY;SIMPLE STORY;43193.0;33647.0;5521-5CL
184007891;SIMPLE STORY;SIMPLE STORY;38700.0;30147.0;48171-4PL
